# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.collect.changes.ms,1747110190723000000,1747110202792000000,0
workspaceModel.init.bridges.ms,1747110190723000000,1747110202792000000,0
workspaceModel.update.unloaded.entities.ms,1747110190723000000,1747110202792000000,0
workspaceModel.updates.ms,1747110190723000000,1747110202792000000,0
workspaceModel.to.snapshot.ms,1747110190723000000,1747110202792000000,0
workspaceModel.pre.handlers.ms,1747110190723000000,1747110202792000000,0
workspaceModel.updates.precise.ms,1747110190723000000,1747110202792000000,0
workspaceModel.updates.count,1747110190723000000,1747110202792000000,0
workspaceModel.initializing.ms,1747110190723000000,1747110202792000000,0
workspaceModel.loading.from.cache.ms,1747110190723000000,1747110202792000000,17
workspaceModel.replace.project.model.ms,1747110190723000000,1747110202792000000,0
workspaceModel.loading.total.ms,1747110190723000000,1747110202792000000,24
workspaceModel.check.recursive.update.ms,1747110190723000000,1747110202792000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1747110190723000000,1747110202792000000,0
jps.save.global.entities.ms,1747110190723000000,1747110202792000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1747110190723000000,1747110202792000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1747110190723000000,1747110202792000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747110190723000000,1747110202792000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1747110190723000000,1747110202792000000,0
jps.library.entities.serializer.save.entities.ms,1747110190723000000,1747110202792000000,0
jps.global.initialize.library.bridges.after.loading.ms,1747110190723000000,1747110202792000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1747110190723000000,1747110202792000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1747110190723000000,1747110202792000000,0
workspaceModel.sync.entities.ms,1747110190723000000,1747110202792000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1747110190723000000,1747110202792000000,0
jps.global.handle.changed.events.ms,1747110190723000000,1747110202792000000,0
workspaceModel.load.cache.from.file.ms,1747110190723000000,1747110202792000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1747110190723000000,1747110202792000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747110190723000000,1747110202792000000,0
workspaceModel.global.updates.ms,1747110190723000000,1747110202792000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1747110190723000000,1747110202792000000,0
workspaceModel.mutableEntityStorage.entities.ms,1747110190723000000,1747110202792000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1747110190723000000,1747110202792000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747110190723000000,1747110202792000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1747110190723000000,1747110202792000000,0
workspaceModel.save.cache.to.file.ms,1747110190723000000,1747110202792000000,0
jps.app.storage.content.reader.load.component.ms,1747110190723000000,1747110202792000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1747110190723000000,1747110202792000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1747110190723000000,1747110202792000000,0
jps.global.get.library.ms,1747110190723000000,1747110202792000000,0
